category,website,description
university,https://www.africau.edu/,the offical africa university website
food,https://www.canteen.africau.ac.zw,the official hall website
library,https://elibrary.africau.edu/,library website
academia,https://www.acacia.africau.ac.zw,the academia website
fees payment,https://www.paynow.co.zw/Payment/BillPaymentLink/?q=aWQ9NDk1MCZhbW91bnQ9MC4wMCZhbW91bnRfcXVhbnRpdHk9MC4wMCZmMT0mZjI9JmYzPSZsPTA%3d,the official website payment for any and all school related payments
academic resources,https://webpac.africau.ac.zw/,"academic resources such as papers, journals, books,past papers, etc"
alumni,http://alumni.africau.edu/,website for africa university alumni
support,https://support.africau.ac.zw/kb/index.php,The official Support Website where you can open tickets to get assistance and also get answers for some of the most Frequently asked Questions
